project_name,path,lineno,parameter,value
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/eval/swe_extra/run_swe_extra.py,139,model,anthropic/claude-3-5-sonnet-20240620
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/tools/_browser_perplexity.py,59,model,perplexity/sonar-pro
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/tools/_browser_perplexity.py,66,model,sonar-pro
gptme,/home/aolmedo/research/repos/projects/gptme/gptme/context/compress.py,243,model,gpt-4
gptme,/home/aolmedo/research/repos/projects/gptme/scripts/github_ci_self_heal.py,94,max_tokens,1024
gptme,/home/aolmedo/research/repos/projects/gptme/scripts/github_ci_self_heal.py,129,max_tokens,2048
gptme,/home/aolmedo/research/repos/projects/gptme/scripts/github_ci_self_heal.py,151,model,claude-haiku-4-5-20251001
gptme,/home/aolmedo/research/repos/projects/gptme/scripts/github_ci_self_heal.py,202,model,claude-haiku-4-5
dreamGPT,/home/aolmedo/research/repos/projects/dreamGPT/dreamgpt/llm/llm.py,18,model,gpt-3.5-turbo
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1808,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1813,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1818,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1046,model,gpt-oss-120b
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1082,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1118,model,claude-3-sonnet-20240229
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1144,model,grok-2-1212
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1174,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1211,model,gemini-2.5-flash
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1237,model,glm-4.5
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1301,model,claude-sonnet-4-20250514
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1397,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1419,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1441,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/agent_config.py,1463,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/chat_agent.py,1085,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/chat_agent.py,1093,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/chat_agent.py,1101,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/chat_agent.py,813,model,gpt-4
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/persona_generator.py,230,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/cli/run.py,2434,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/cli/run.py,2446,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/cli/run.py,2454,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/cli/backends.py,818,model,gpt-4.1-nano-2025-04-14
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/cli/backends.py,840,model,text-embedding-3-small
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/cli/backends.py,738,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/frontend/web/server.py,5890,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/frontend/web/server.py,2019,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/frontend/displays/textual_widgets/quickstart_wizard.py,1621,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/frontend/displays/textual_widgets/quickstart_wizard.py,1964,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/frontend/displays/textual_widgets/quickstart_wizard.py,1641,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/frontend/displays/textual_widgets/quickstart_wizard.py,1991,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/frontend/displays/textual_widgets/quickstart_wizard.py,1985,model,gpt-4o-mini
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_extraframework_agents/openai_assistant_lesson_planner_tool.py,75,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_extraframework_agents/openai_assistant_lesson_planner_tool.py,224,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_extraframework_agents/openai_assistant_lesson_planner_tool.py,224,temperature,0.7
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_extraframework_agents/langgraph_lesson_planner_tool.py,65,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_extraframework_agents/langgraph_lesson_planner_tool.py,65,temperature,0.7
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_computer_use/computer_use_tool.py,275,model,computer-use-preview
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_ui_tars_computer_use/ui_tars_computer_use_tool.py,763,model,ByteDance-Seed/UI-TARS-1.5-7B
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_ui_tars_computer_use/ui_tars_computer_use_tool.py,763,temperature,0.0
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_ui_tars_computer_use/ui_tars_computer_use_tool.py,763,max_tokens,400
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_gemini_computer_use/gemini_computer_use_tool.py,833,model,gemini-2.5-computer-use-preview-10-2025
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,51,model,gemini-3-flash-preview
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,57,model,gemini-3.1-pro-preview
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,63,model,gemini-3-flash-preview
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,71,model,gpt-4o-transcribe
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,77,model,gpt-5.4
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,83,model,gpt-5.4
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,91,model,claude-sonnet-4-5-20250929
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,97,model,claude-sonnet-4-5-20250929
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,104,model,grok-4-1-fast-reasoning
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,110,model,grok-4-1-fast-reasoning
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,117,model,openai/gpt-5.2
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/backend_selector.py,123,model,openai/gpt-5.2
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/understand_audio.py,457,model,gpt-4o-transcribe
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_multimodal_tools/text_to_file_generation.py,352,temperature,0.7
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_claude_computer_use/claude_computer_use_tool.py,663,model,claude-sonnet-4-5
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/tool/_claude_computer_use/claude_computer_use_tool.py,663,max_tokens,4096
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/session/_registry.py,396,model,N/A
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/session/_registry.py,426,model,N/A
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/base_with_custom_tool_and_mcp.py,5012,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/base_with_custom_tool_and_mcp.py,5043,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/_streaming_buffer_mixin.py,106,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/_streaming_buffer_mixin.py,43,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/_streaming_buffer_mixin.py,108,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/cli_base.py,195,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/codex.py,163,model,gpt-5.4
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/claude.py,639,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/claude.py,973,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/claude.py,1215,model,claude-sonnet-4-20250514
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/claude.py,1771,model,claude-sonnet-4-20250514
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/response.py,275,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/response.py,616,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/response.py,1879,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/chat_completions.py,278,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/chat_completions.py,1072,model,gpt-4o
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/chat_completions.py,541,model,unknown
MassGen,/home/aolmedo/research/repos/projects/MassGen/massgen/backend/chat_completions.py,1037,model,gpt-4o
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/analyse/reg-share.py,87,max_tokens,1
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/analyse/reg-share.py,87,temperature,0.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/analyse/reg-share.py,87,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_pre_training_distribution.py,136,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_pre_training_distribution.py,136,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_min_p_ablation.py,42,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_min_p_ablation.py,42,top_p,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_top_p_ablation.py,41,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_candidates_ablation.py,41,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_candidates_ablation.py,41,top_p,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_candidates_ablation.py,152,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_candidates_ablation.py,152,top_p,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_comparison.py,189,temperature,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_comparison.py,189,top_p,0.98
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_comparison.py,199,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_comparison.py,199,top_p,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_comparison.py,208,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_comparison.py,208,top_p,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_comparison.py,89,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_comparison.py,89,top_p,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_comparison.py,104,temperature,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_comparison.py,104,top_p,0.98
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_ablation.py,58,top_p,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_ablation.py,73,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_ablation.py,87,top_p,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_ablation.py,101,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_ablation.py,115,top_p,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/run_sampling_ablation.py,128,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/prob_def/run_poem_local.py,140,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/prob_def/run_poem_local.py,140,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/prob_def/run_poem.py,201,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/prob_def/run_poem.py,201,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/prob_def/run_bias_ablation.py,174,temperature,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/prob_def/run_bias_ablation.py,174,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_poem_gemini.py,188,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_poem_gemini.py,188,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_bias.py,174,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_bias.py,174,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_story_gemini.py,188,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_story_gemini.py,188,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_story.py,188,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_story.py,188,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_joke.py,188,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_joke.py,188,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_poem.py,188,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/ablation/diversity_tuning/run_poem.py,188,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_positive_gsm8k.py,152,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_positive_gsm8k.py,152,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_rng.py,150,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_rng.py,150,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_negative.py,160,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_negative.py,160,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_simple_qa.py,150,temperature,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_simple_qa.py,150,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_math_simple.py,72,model,Qwen/Qwen3-4B-Base
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_math_simple.py,40,temperature,0.1
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_bias_task_coverageqa.py,166,temperature,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_bias_task_coverageqa.py,166,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_jokes.py,40,temperature,0.5
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_jokes.py,40,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_story.py,152,temperature,0.5
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_story.py,152,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_bias_task_general.py,166,temperature,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_bias_task_general.py,166,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_poem.py,166,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_poem.py,166,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_safety.py,210,temperature,0.3
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_safety.py,210,top_p,0.9
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_safety.py,75,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_safety.py,75,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_positive_amc_aime.py,152,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_positive_amc_aime.py,152,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_positive_lcb.py,152,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/tasks/run_positive_lcb.py,152,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/synthetic_data_negative.py,289,model,text-embedding-3-small
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/plot_unify_creativity_w_diversity_tuning.py,1197,model,google_gemini-2.5-flash
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/rng.py,549,model,gemini-2.5-pro
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/gsm8k_eval.py,68,max_tokens,512
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/gsm8k_eval.py,54,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/gsm8k_eval.py,54,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/appendix/prob_manipulation_line_plot.py,236,model,google_gemini-2.5-flash
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/qualitative_tasks/synthetic_data.py,279,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/qualitative_tasks/synthetic_data.py,279,top_p,1.0
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/qualitative_tasks/synthetic_data.py,225,model,text-embedding-3-small
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/qualitative_tasks/synthetic_data_teaser_graph.py,29,model,text-embedding-3-small
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/synthetic_data/lcb_training_file.py,98,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/synthetic_data/lcb_training_file.py,98,max_tokens,10000
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/synthetic_data/lcb_training_file_sequence.py,76,temperature,0.7
verbalized-sampling,/home/aolmedo/research/repos/projects/verbalized-sampling/scripts/analysis/latex/synthetic_data/gsm_training_file.py,36,model,gpt-4.1
